Gene_Id	Chr	Start	End	Length	Reads	TPM	ExonLength	ExonReads	ExonTPM	IntronLength	IntronReads	IntronTPM	UniqueLength	UniqueReads	UniqueTPM	UniqueExonLength	UniqueExonReads	UniqueExonTPM	UniqueIntronLength	UniqueIntronReads	UniqueIntronTPM
YDL089W	IV	296819	298273	1455	437	24.7161	1455	437	22.5379	0	0	0	1455	437	25.2489	1455	437	22.5182	0	0	0
YDL088C	IV	298416	300002	1587	765	39.6685	1587	765	36.1726	0	0	0	1587	765	40.5236	1587	765	36.141	0	0	0
YDL087C	IV	300213	300998	786	119	12.4591	786	119	11.3611	0	0	0	786	119	12.7276	786	119	11.3512	0	0	0
YDL086W	IV	301412	302233	822	1019	102.015	822	1019	93.0244	0	0	0	387	583	126.643	387	583	112.947	0	0	0
YDL086C-A	IV	301654	302088	435	620	117.291	435	620	106.954	0	0	0	0	0	0	0	0	0	0	0	0
YDL085C-A	IV	302463	302669	207	585	232.566	207	585	212.07	0	0	0	207	585	237.58	207	585	211.886	0	0	0
YDL085W	IV	303210	304847	1638	61	3.06462	1638	61	2.79454	0	0	0	1638	61	3.13069	1638	61	2.79211	0	0	0
YDL084W	IV	305236	306576	1341	5277	323.831	1341	5277	295.293	0	0	0	1341	5277	330.813	1341	5277	295.036	0	0	0
YDL083C	IV	306925	307788	864	10990	1046.75	432	10769	1870.62	432	293	5084.12	864	10990	1069.32	432	10769	1868.99	432	293	5034.25
YDL082W	IV	308423	309387	965	6463	551.147	600	6377	797.553	365	115	2361.77	965	6463	563.029	600	6377	796.858	365	115	2338.6
YDL081C	IV	309801	310121	321	10351	2653.62	321	10351	2419.76	0	0	0	321	10351	2710.82	321	10351	2417.65	0	0	0
YDL080C	IV	310641	312470	1830	602	27.0711	1830	602	24.6854	0	0	0	1830	602	27.6547	1830	602	24.6639	0	0	0
YDL079C	IV	312950	314747	1798	179	8.19264	1506	175	8.71982	292	7	179.7	1798	179	8.36926	1506	175	8.71223	292	7	177.937
YDL078C	IV	315356	316387	1032	1719	137.075	1032	1719	124.994	0	0	0	1032	1719	140.03	1032	1719	124.886	0	0	0
YDL077C	IV	316970	320119	3150	574	14.9955	3150	574	13.674	0	0	0	3150	574	15.3188	3150	574	13.6621	0	0	0
YDL076C	IV	320667	321551	885	533	49.5615	885	533	45.1938	0	0	0	885	533	50.63	885	533	45.1544	0	0	0
YDL075W	IV	322225	322987	763	10293	1110.14	342	10027	2200.09	421	346	6160.65	763	10293	1134.07	342	10027	2198.17	421	346	6100.21
snR63	IV	323216	323470	255	86	27.7536	255	86	25.3077	0	0	0	255	86	28.3519	255	86	25.2857	0	0	0
YDL074C	IV	324046	326148	2103	1649	64.5271	2103	1649	58.8405	0	0	0	2103	1649	65.9182	2103	1649	58.7892	0	0	0
YDL073W	IV	326612	329566	2955	994	27.6815	2955	994	25.242	0	0	0	2955	994	28.2783	2955	994	25.22	0	0	0
YDL072C	IV	329835	330446	612	1287	173.056	612	1287	157.805	0	0	0	612	1287	176.787	612	1287	157.668	0	0	0
YDL071C	IV	330665	331039	375	74	16.2391	375	74	14.808	0	0	0	358	64	15.0287	358	64	13.4033	0	0	0
YDL070W	IV	331023	332939	1917	2388	102.512	1917	2388	93.4774	0	0	0	1900	2388	105.658	1900	2388	94.2316	0	0	0
YDL069C	IV	333120	333809	690	185	22.064	690	185	20.1195	0	0	0	379	127	28.1701	379	127	25.1235	0	0	0
YDL068W	IV	333499	333828	330	87	21.6953	330	87	19.7834	0	0	0	19	36	159.284	19	36	142.058	0	0	0
YDL067C	IV	334216	334395	180	1121	512.5	180	1121	467.334	0	0	0	180	1121	523.548	180	1121	466.927	0	0	0
YDL066W	IV	334834	336120	1287	3451	220.662	1287	3451	201.215	0	0	0	1287	3451	225.419	1287	3451	201.04	0	0	0
YDL065C	IV	336248	337276	1029	822	65.7381	1029	822	59.9447	0	0	0	1029	822	67.1553	1029	822	59.8925	0	0	0
YDL064W	IV	337486	338069	584	601	84.6881	474	600	94.9877	110	5	340.729	584	601	86.5138	474	600	94.905	110	5	337.387
YDL063C	IV	338271	340133	1863	914	40.3733	1863	914	36.8153	0	0	0	1585	689	36.5438	1585	689	32.5916	0	0	0
YDL062W	IV	339856	340281	426	251	48.487	426	251	44.2139	0	0	0	148	128	72.7063	148	128	64.8432	0	0	0
YDL061C	IV	340627	340797	171	4980	2396.59	171	4980	2185.38	0	0	0	171	4980	2448.26	171	4980	2183.48	0	0	0
YDL060W	IV	341618	343984	2367	1825	63.4491	2367	1825	57.8574	0	0	0	2367	1825	64.8169	2367	1825	57.807	0	0	0
YDL059C	IV	344236	344952	717	570	65.4209	717	570	59.6555	0	0	0	717	570	66.8312	717	570	59.6035	0	0	0
YDL058W	IV	345664	351036	5373	1474	22.5757	5373	1474	20.5862	0	0	0	5373	1474	23.0624	5373	1474	20.5682	0	0	0
YDL057W	IV	351433	352419	987	167	13.9239	987	167	12.6968	0	0	0	987	167	14.224	987	167	12.6857	0	0	0
YDL056W	IV	352876	355377	2502	726	23.8787	2502	726	21.7743	0	0	0	2502	726	24.3934	2502	726	21.7553	0	0	0
YDL055C	IV	355673	356758	1086	13200	1000.24	1086	13200	912.092	0	0	0	1086	13200	1021.8	1086	13200	911.297	0	0	0
tK(UUU)D	IV	359576	359671	96	5	4.28607	73	5	5.13975	23	3	977.745	96	5	4.37847	73	5	5.13527	23	3	968.154
YDL054C	IV	359824	361284	1461	796	44.8357	1461	796	40.8844	0	0	0	1461	796	45.8022	1461	796	40.8488	0	0	0
